Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Semi equipped,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,rue d'Arlon 16,"€210,000",3 bedrooms | 130 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,rue André Loi 62,"€210,000",3 bedrooms,3 bedrooms,No,USA hyper equipped,Good,540 m² ,Yes
Villa for sale,Rue de Dalhem 17,"€215,000",4 bedrooms,4 bedrooms,No,USA hyper equipped,Good,540 m² ,Yes
House for sale,4480 — HERMALLE-SOUS-HUY,"€219,000",3 bedrooms | 229 m² ,3 bedrooms,No,USA hyper equipped,Good,540 m² ,Yes
House for sale,Rue Fond l'Oiseau 2,"€219,000",3 bedrooms | 154 m² ,3 bedrooms,No,Installed,Good,540 m² ,No
House for sale,9800 — Deinze,"€219,000",1 bedroom | 61 m² ,1 bedroom,No,Installed,As new,540 m² ,No
Apartment block for sale,Rue Jules Cralle 150,"€220,000",3 bedrooms | 170 m² ,3 bedrooms,No,Installed,To be done up,540 m² ,No
Apartment block for sale,Rue Jules Cralle 150,"€220,000",3 bedrooms | 170 m² ,3 bedrooms,No,Installed,To be done up,540 m² ,No
