Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,Fabriekstraat 44,"€392,110",2 bedrooms | 160 m² ,2 bedrooms,No,Hyper equipped,To renovate,35 m² ,No
House for sale,Baeckelmansstraat 40B Box Lot 7,"€404,600",3 bedrooms | 182 m² ,3 bedrooms,No,Hyper equipped,As new,35 m² ,No
House for sale,Saffraanstraat LOT 11,"€423,500",3 bedrooms | 205 m² ,3 bedrooms,No,Installed,As new,35 m² ,No
House for sale,Hoge Bokstraat 59,"€425,000",5 bedrooms | 207 m² ,5 bedrooms,No,USA hyper equipped,As new,35 m² ,No
House for sale,Avenue de la Resistance 1,"€129,000",4 bedrooms,4 bedrooms,No,Semi equipped,To be done up,35 m² ,No
House for sale,Pierstraat 442,"€379,000",2 bedrooms | 214 m² ,2 bedrooms,No,Hyper equipped,To be done up,183 m² ,No
Mixed-use building for sale,1300 — Wavre,"€1,175",4 bedrooms | 519 m² ,4 bedrooms,No,USA installed,As new,183 m² ,No
House for sale,7370 — Dour,"€205,000",4 bedrooms | 200 m² ,4 bedrooms,No,Installed,Just renovated,183 m² ,No
House for sale,"Oostergem 36,","€325,000",2 bedrooms | 147 m² ,2 bedrooms,No,Installed,Just renovated,183 m² ,No
House for sale,Edestraat 105,"€230,000",4 bedrooms,4 bedrooms,No,Installed,To renovate,183 m² ,No
House for sale,Palmstraat 11,"€289,000",3 bedrooms | 191 m² ,3 bedrooms,No,Installed,Good,183 m² ,No
House for sale,"Hilarius Bertolfstraat 110,","€295,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,Good,21 m² ,No
Farmhouse for sale,Hoflandstraat 6,"€372,000",1 bedroom | 246 m² ,1 bedroom,No,Installed,Good,21 m² ,No
Mixed-use building for sale,2610 — Wilrijk,"€695,000",7 bedrooms | 295 m² ,7 bedrooms,No,Installed,Good,21 m² ,No
Echte parkwoningen vlakbij centrum Tielt,Geluwestraat 5,"€322,000",3 - 4 bedrooms,3 - 4 bedrooms,No,Installed,Good,21 m² ,No
House for sale,6030 — Charleroi,"€189,000",3 bedrooms | 133 m² ,3 bedrooms,No,USA hyper equipped,Just renovated,1 m² square meter,No
House for sale,"Verkortingstraat 90,","€261,000",3 bedrooms | 115 m² ,3 bedrooms,No,Semi equipped,To renovate,1 m² square meter,No
House for sale,Pater Domstraat 16/W3,"€410,000",4 bedrooms | 161 m² ,4 bedrooms,No,Installed,As new,1 m² square meter,No
House for sale,Kastanjelaan 6,"€619,000",6 bedrooms | 304 m² ,6 bedrooms,No,Installed,As new,1 m² square meter,No
House for sale,Elsenstraat 12,"€215,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To be done up,1 m² square meter,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
House for sale,Steenweg 453,"€299,000",2 bedrooms,2 bedrooms,No,Installed,Good,195 m² ,No
House for sale,Doornzele Dries 31,"€385,000",3 bedrooms,3 bedrooms,No,Installed,Good,195 m² ,No
House for sale,Eduard Robeynslaan 68,"€110,000",2 bedrooms | 148 m² ,2 bedrooms,No,Installed,Good,195 m² ,No
House for sale,Kerkstraat 77,"€110,000",3 bedrooms,3 bedrooms,No,Installed,Good,195 m² ,No
House for sale,"Peperstraat 61,","€209,000",3 bedrooms | 192 m² ,3 bedrooms,No,Installed,Good,195 m² ,No
House for sale,Aelvoetstraat 22,"€262,000",3 bedrooms,3 bedrooms,No,Installed,Good,195 m² ,No
House for sale,"Chaussée d'Alsemberg 187,","€385,000",4 bedrooms | 215 m² ,4 bedrooms,No,Installed,Good,195 m² ,No
Villa for sale,Oude Heerbaan 29,"€429,000",3 bedrooms | 236 m² ,3 bedrooms,No,Installed,Good,195 m² ,No
Mansion for sale,Wulfhagestraat 16,"€625,000",4 bedrooms,4 bedrooms,No,Installed,Good,195 m² ,No
House for sale,6010 — Couillet,"€248,000",3 bedrooms | 131 m² ,3 bedrooms,No,Semi equipped,Good,420 m² ,No
Villa for sale,Rue Estroit 5 Box 0,"€315,000",3 bedrooms | 147 m² ,3 bedrooms,No,Installed,Good,1800 m² ,No
House for sale,Biesbeekstraat 4,"€368,000",3 bedrooms,3 bedrooms,No,Installed,As new,1800 m² ,No
House for sale,Cornelis Everaartstraat 15,"€415,000",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,1800 m² ,No
Mixed-use building for sale,6040 — Charleroi Jumet,"€425,000",7 bedrooms | 290 m² ,7 bedrooms,No,Hyper equipped,Good,1800 m² ,No
House for sale,Eigenheerdstraat 19,"€100,000",2 bedrooms,2 bedrooms,No,Hyper equipped,Good,1800 m² ,No
House for sale,Stationsstraat 10,"€249,000",5 bedrooms | 266 m² ,5 bedrooms,No,Hyper equipped,As new,1800 m² ,No
House for sale,Zwarteleertouwersstraat 46,"€250,000",3 bedrooms | 140 m² ,3 bedrooms,No,Hyper equipped,As new,1800 m² ,No
House for sale,Sneppenstraat 40,"€260,000",4 bedrooms,4 bedrooms,No,Hyper equipped,As new,1800 m² ,No
House for sale,Dries 12,"€365,000",3 bedrooms | 142 m² ,3 bedrooms,No,Installed,As new,1800 m² ,No
